platform,tag,url,title,summary,language,difficulty,learners_count,price,certificate,authors,rating_loved,rating_liked
Alison,Programming,https://alison.com/course/data-science-regression-and-clustering-models#outcomes,Data Science - Regression and Clustering Models,"This free online data modelling course will teach you about Regression and Clustering Models. You will look into what regression modelling and classification modelling are, look at their similarity, and learn how each of these models can be created in Azure ML, R, and Python. This course will also discuss the metrics for evaluating a classification model's performance. You will also examine unsupervised learning models, and more!",en,Beginner Level,5634,0,Certificate,Channel 9,15,12
Alison,Programming,https://alison.com/course/developing-a-face-recognition-door-system-with-raspberry-pi#outcomes,Developing a Face Recognition Door System With Raspberry Pi,"Curious about how facial recognition door systems work? This course offers a comprehensive, hands-on guide to building a face-recognition door lock system using Raspberry Pi. With a focus on practical application, you'll explore the theoretical concepts and essential technical skills for developing a secure access solution. This course will empower you to create an innovative security system. Enrol today and master a fascinating skill!",en,Intermediate Level,318,0,Certificate,Khan Arbaz,4,1
Alison,Programming,https://alison.com/course/programming-using-visual-basic#outcomes,Programming using Visual Basic,"In this course, you will learn to write programs for Windows from scratch using the Visual Basic programming language. You will learn everything from setting up Visual Basic to data types and functions and creating graphical user interface (GUI) programs. Visual Basic is a good language for beginners, exposing them to a highly functional yet easy-to-use language. For experienced users, Visual Basic provides a language for rapid development.",en,Intermediate Level,3309,0,Certificate,Sonar Systems,7,3
Alison,Programming,https://alison.com/course/fundamentals-of-google-apps-script-and-ide#outcomes,Fundamentals of Google Apps Script And IDE,"In this course, you will learn about Google Apps Script and what it has to offer in terms of features and coding functionality. This course covers everything, from introducing you to Apps Script and IDE to Deploying Libraries, connecting APIs, and outputting Web App content. You will get at an in-depth look at the new and improved Google Apps Script editor or IDE so you can power up your apps and get more out of Apps Script.",en,Beginner Level,1961,0,Certificate,Laurence Svekis ✔,6,2
Alison,Programming,https://alison.com/course/diploma-in-ios-12-and-swift-4-basics#outcomes,Diploma in iOS 12 and Swift 4 Basics,"This free online iOS 12 and Swift 4 diploma course will teach you everything you need to know about setting up an iOS development environment. In this course you will learn the basics of programming in Swift 4 and work with Version and Git. You will also learn how to create adaptive designs that can be used on different devices, work with the auto layout to create interface designs for iPhone and iPad, and more.",en,Beginner Level,3000,0,Diploma,Devslopes,9,3
Alison,Programming,https://alison.com/course/c-plus-plus-and-compiling-c-programs-to-assembly-language#outcomes,C++ and Compiling C Programs to Assembly Language,"This free online course on C++ and compiling C programs to assembly language can be of great help to students aspiring to be able to write simple and programs in C and also converting the program to assembly language. The course gives an insight on such required compilation steps like pre-compilation, actual compiler output and linking. Many other important topics are discussed in the course, so get started today.",en,Advanced Level,3622,0,Certificate,NPTEL,9,5
Alison,Programming,https://alison.com/course/programming-c-sharp-intermediate#outcomes,Diploma in Programming C#: Intermediate,"Refine your C# skills with this Programming C#: Intermediate free online course and learn how to apply C# and the many techniques provided by the .NET framework to enhance code functionalities. This advanced C# course covers a host of methods that you will need to take your coding in C# to the next level, including learning about types, operators, the manipulation of strings, looping construct, and processes involved in creating classes.",en,Beginner Level,6482,0,Diploma,Workforce Academy Partnership,19,14
Alison,Programming,https://alison.com/course/a-guide-to-arduino-motion-detection-through-sms-using-python#outcomes,A Guide to Arduino Motion Detection through SMS using Python,"This free online course takes a step-by-step approach to constructing a motion sensor that uses Arduino as a primary component. The course starts by explaining the circuit layout of how each part is connected to the other devices. Understand how you can program an Arduino device and write a computer application in Python that examines the Arduino device. Finally, discover how to configure a telephone account on the Web that can send SMS messages.",en,Beginner Level,3906,0,Certificate,Ashraf Said AlMadhoun,5,1
Alison,Programming,https://alison.com/course/programming-using-rust-language#outcomes,Programming Using Rust Language,"Five-star software heavyweights such as Firefox, Cloudflare and Dropbox are coded using Rust programming language. Its emphasis on security and ultra-performance has made Rust a unique programming language of choice. This course will provide you with firsthand knowledge of Rust. Learn how to set up a Rust environment, write Rust codes, implement loops and conditionals and manipulate strings as you build up to additional Rust structures.",en,Intermediate Level,2294,0,Certificate,Stone River eLearning,12,14
Alison,Programming,https://alison.com/course/dom-interactive-website-game-using-javascript#outcomes,DOM – Interactive Website Game using JavaScript,"The Document Object Model (DOM) allows you to manipulate website elements, and create new ones without changing its HTML code. In this free online JavaScript game development course, you will be introduced to DOM and learn how to use JavaScript to create webpage elements, move elements and create animations that make websites engaging and responsive along with the process involved in developing an interactive website game using JavaScript.",en,Intermediate Level,891,0,Certificate,Laurence Svekis ✔,4,3
Alison,Programming,https://alison.com/course/simple-catcher-game-using-html-5-canvas-and-javascript#outcomes,Simple Catcher Game Using HTML 5 Canvas and JavaScript,"Do you want to make your own computer game but don’t know how? This free course is an excellent opportunity for you to improve your skills. Learn to create a simple but delightful catcher game from scratch using HTML5 Canvas and JavaScript. You will be guided through all the required commands, programs, and techniques of HTML5 Canvas and JavaScript. By the end, you will have your own exciting catcher game to play and share!",en,Beginner Level,1006,0,Certificate,Laurence Svekis ✔,4,1
Alison,Programming,https://alison.com/course/microcontroller-projects-serial-communication-and-motion-detection#outcomes,Microcontroller Projects: Serial Communication and Motion Detection,What if you could design a system that allows you to operate your home from your computer or an electronic device that delivers audio signals when it detects movement in the area? This simple training can make your concept a reality. You'll learn how to connect your PC to RS232 via serial port and build a motion detector with a PIC microcontroller and PIR sensor. The programming procedure for these two devices is also detailed.,en,Beginner Level,625,0,Certificate,Ashraf Said AlMadhoun,5,3
Alison,Programming,https://alison.com/course/swift-3-programming-using-ios-10-features#outcomes,Swift 3 Programming using iOS 10 Features,"Swift language is now replacing all the other languages in developing iOS applications. Swift 3.0 is the latest release since the language was made open-source by Apple and boasts many new advanced features. This course, ‘Swift 3 Programming using iOS 10 Features’, is a masterclass designed to help modernise your talents, taking you through all the developments and refinements in Swift 3.0 and upgrading your Swift coding skills.",en,Intermediate Level,349,0,Certificate,Stone River eLearning,2,0
